Task,CC-GPT-4o,CC-GPT-4o (no ctx),CC-GPT-4o-mini,CC-GPT-4o-mini (no ctx),CC-Llama-3.1-405b-instruct,CC-Llama-3.1-405b-instruct (no ctx),LLama3-70B-instruct,LLama3-70B-instruct (no ctx),LLama3-8B,LLama3-8B (no ctx),LLama3-8B-instruct,LLama3-8B-instruct (no ctx),Lag-Llama,Naive_random,Naive_oracle,Statsmodels
ATMBuildingClosedTask, 0.051 ± 0.013, 0.309 ± 0.058, 0.286 ± 0.071, 0.326 ± 0.049, 0.094 ± 0.023, 0.321 ± 0.055, 0.132 ± 0.045, 0.307 ± 0.055, 0.420 ± 0.286, 0.276 ± 0.055, 0.182 ± 0.056, 0.290 ± 0.062, 0.225 ± 0.030, 0.287 ± 0.048, 0.000 ± 0.000, 0.286 ± 0.059
ATMUnderPeriodicMaintenanceTaskWithConclusion, 0.108 ± 0.022, 0.147 ± 0.029, 0.163 ± 0.023, 0.155 ± 0.023, 0.234 ± 0.042, 0.222 ± 0.036, 0.221 ± 0.037, 0.209 ± 0.037, 0.191 ± 0.033, 0.188 ± 0.030, 0.206 ± 0.033, 0.248 ± 0.043, 0.254 ± 0.037, 0.604 ± 0.103, 0.000 ± 0.000, 0.244 ± 0.014
ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit, 0.109 ± 0.020, 0.158 ± 0.027, 0.171 ± 0.024, 0.161 ± 0.026, 0.172 ± 0.025, 0.215 ± 0.030, 0.156 ± 0.026, 0.199 ± 0.035, 0.176 ± 0.026, 0.202 ± 0.032, 0.232 ± 0.046, 0.265 ± 0.051, 0.254 ± 0.037, 0.604 ± 0.103, 0.000 ± 0.000, 0.222 ± 0.028
ATMUnderPeriodicMaintenanceTaskWithoutConclusion, 0.110 ± 0.021, 0.156 ± 0.026, 0.156 ± 0.024, 0.152 ± 0.023, 0.232 ± 0.034, 0.224 ± 0.033, 0.218 ± 0.040, 0.211 ± 0.035, 0.185 ± 0.026, 0.187 ± 0.030, 0.225 ± 0.037, 0.242 ± 0.042, 0.254 ± 0.037, 0.604 ± 0.103, 0.000 ± 0.000, 0.246 ± 0.026
BoundedPredConstraintsBasedOnPredQuantilesTask, 0.411 ± 0.324, 4.561 ± 2.662, 0.211 ± 0.031, 2.909 ± 1.542, 0.381 ± 0.323, 4.861 ± 2.731, 2.722 ± 1.096, 2.851 ± 1.194, 2.039 ± 0.805, 1.707 ± 0.811, 3.107 ± 1.280, 3.047 ± 1.230, 2.498 ± 1.405, 5.590 ± 3.119, 0.000 ± 0.000, 4.202 ± 1.882
CashDepletedinATMScenarioTask, 0.052 ± 0.013, 0.292 ± 0.055, 0.286 ± 0.069, 0.331 ± 0.050, 0.110 ± 0.039, 0.325 ± 0.058, 0.134 ± 0.040, 0.305 ± 0.055, 0.155 ± 0.036, 0.280 ± 0.053, 0.180 ± 0.056, 0.290 ± 0.060, 0.225 ± 0.030, 0.288 ± 0.049, 0.000 ± 0.000, 0.279 ± 0.061
DecreaseInTrafficInPredictionTask, 0.061 ± 0.025, 0.319 ± 0.159, 0.187 ± 0.085, 0.257 ± 0.118, 0.099 ± 0.043, 0.330 ± 0.161, 17.426 ± 9.999, 0.205 ± 0.081, 0.159 ± 0.061, 0.165 ± 0.062, 0.148 ± 0.054, 0.271 ± 0.126, 0.186 ± 0.065, 0.307 ± 0.127, 0.000 ± 0.000, 0.223 ± 0.086
DiffuseHorizontalIrradianceFromCloudStatus, 0.116 ± 0.025, 0.123 ± 0.018, 0.104 ± 0.012, 0.120 ± 0.017, 0.134 ± 0.024, 0.119 ± 0.021, 0.560 ± 0.293, 0.109 ± 0.021, 0.121 ± 0.009, 0.103 ± 0.008, 0.115 ± 0.022, 0.119 ± 0.020, 0.156 ± 0.016, 0.227 ± 0.021, 0.000 ± 0.000, 0.149 ± 0.012
DirectNormalIrradianceFromClearsky, 0.148 ± 0.056, 0.466 ± 0.091, 0.157 ± 0.052, 0.415 ± 0.124, 0.180 ± 0.051, 0.475 ± 0.080, 0.177 ± 0.052, 0.298 ± 0.125, 0.154 ± 0.055, 0.197 ± 0.063, 0.160 ± 0.057, 0.339 ± 0.127, 0.766 ± 0.056, 0.197 ± 0.046, 0.000 ± 0.000, 1.193 ± 0.332
DirectNormalIrradianceFromCloudStatus, 0.081 ± 0.013, 0.139 ± 0.016, 0.184 ± 0.074, 0.169 ± 0.054, 0.073 ± 0.009, 0.123 ± 0.016, 0.206 ± 0.093, 0.229 ± 0.089, 0.261 ± 0.089, 0.257 ± 0.092, 0.232 ± 0.075, 0.220 ± 0.080, 0.193 ± 0.061, 0.272 ± 0.094, 0.000 ± 0.000, 0.336 ± 0.109
